homeTeamStats,awayTeamStats,Stat,id
59.3,40.7,Possession %,93645
10.0,2.0,Shots on target,93645
14.0,10.0,Shots,93645
828.0,564.0,Touches,93645
611.0,399.0,Passes,93645
10.0,17.0,Tackles,93645
24.0,6.0,Clearances,93645
4.0,8.0,Corners,93645
0.0,4.0,Offsides,93645
1.0,4.0,Yellow cards,93645
5.0,21.0,Fouls conceded,93645
6.0,0.0,Goal,93645
69.8,30.2,Possession %,93646
6.0,5.0,Shots on target,93646
21.0,8.0,Shots,93646
975.0,567.0,Touches,93646
725.0,324.0,Passes,93646
26.0,27.0,Tackles,93646
11.0,45.0,Clearances,93646
11.0,1.0,Corners,93646
2.0,5.0,Offsides,93646
1.0,1.0,Yellow cards,93646
10.0,10.0,Fouls conceded,93646
0.0,1.0,Goal,93646
58.2,41.8,Possession %,93650
4.0,10.0,Shots on target,93650
15.0,18.0,Shots,93650
794.0,616.0,Touches,93650
549.0,412.0,Passes,93650
16.0,26.0,Tackles,93650
12.0,35.0,Clearances,93650
8.0,3.0,Corners,93650
1.0,0.0,Offsides,93650
1.0,2.0,Yellow cards,93650
6.0,13.0,Fouls conceded,93650
0.0,2.0,Goal,93650
51.5,48.5,Possession %,93641
4.0,2.0,Shots on target,93641
18.0,11.0,Shots,93641
643.0,605.0,Touches,93641
450.0,425.0,Passes,93641
21.0,18.0,Tackles,93641
15.0,14.0,Clearances,93641
4.0,6.0,Corners,93641
5.0,1.0,Offsides,93641
3.0,1.0,Yellow cards,93641
12.0,7.0,Fouls conceded,93641
0.0,2.0,Goal,93641
27.1,72.9,Possession %,93648
5.0,2.0,Shots on target,93648
18.0,11.0,Shots,93648
369.0,742.0,Touches,93648
189.0,575.0,Passes,93648
12.0,14.0,Tackles,93648
22.0,15.0,Clearances,93648
16.0,3.0,Corners,93648
1.0,3.0,Offsides,93648
0.0,4.0,Yellow cards,93648
14.0,12.0,Fouls conceded,93648
4.0,0.0,Goal,93648
53.2,46.8,Possession %,93643
5.0,2.0,Shots on target,93643
9.0,8.0,Shots,93643
594.0,516.0,Touches,93643
391.0,344.0,Passes,93643
12.0,13.0,Tackles,93643
28.0,15.0,Clearances,93643
3.0,6.0,Corners,93643
3.0,2.0,Offsides,93643
3.0,1.0,Yellow cards,93643
8.0,11.0,Fouls conceded,93643
2.0,0.0,Goal,93643
44.5,55.5,Possession %,93644
3.0,8.0,Shots on target,93644
11.0,20.0,Shots,93644
638.0,761.0,Touches,93644
453.0,567.0,Passes,93644
22.0,16.0,Tackles,93644
18.0,14.0,Clearances,93644
4.0,5.0,Corners,93644
1.0,4.0,Offsides,93644
1.0,2.0,Yellow cards,93644
18.0,8.0,Fouls conceded,93644
1.0,1.0,Goal,93644
73.6,26.4,Possession %,93647
13.0,2.0,Shots on target,93647
37.0,4.0,Shots,93647
939.0,450.0,Touches,93647
763.0,276.0,Passes,93647
20.0,13.0,Tackles,93647
3.0,28.0,Clearances,93647
12.0,1.0,Corners,93647
0.0,1.0,Offsides,93647
1.0,0.0,Yellow cards,93647
7.0,6.0,Fouls conceded,93647
5.0,1.0,Goal,93647
46.2,53.8,Possession %,93649
9.0,4.0,Shots on target,93649
18.0,11.0,Shots,93649
609.0,719.0,Touches,93649
438.0,525.0,Passes,93649
14.0,14.0,Tackles,93649
7.0,30.0,Clearances,93649
10.0,1.0,Corners,93649
1.0,1.0,Offsides,93649
2.0,3.0,Yellow cards,93649
15.0,10.0,Fouls conceded,93649
2.0,2.0,Goal,93649
43.0,57.0,Possession %,93642
5.0,2.0,Shots on target,93642
20.0,8.0,Shots,93642
575.0,709.0,Touches,93642
382.0,528.0,Passes,93642
18.0,13.0,Tackles,93642
17.0,16.0,Clearances,93642
7.0,2.0,Corners,93642
1.0,2.0,Offsides,93642
4.0,0.0,Yellow cards,93642
13.0,14.0,Fouls conceded,93642
2.0,2.0,Goal,93642
38.0,62.0,Possession %,93637
5.0,7.0,Shots on target,93637
9.0,28.0,Shots,93637
560.0,791.0,Touches,93637
362.0,574.0,Passes,93637
32.0,15.0,Tackles,93637
30.0,13.0,Clearances,93637
6.0,11.0,Corners,93637
3.0,2.0,Offsides,93637
5.0,2.0,Yellow cards,93637
9.0,10.0,Fouls conceded,93637
2.0,2.0,Goal,93637
32.2,67.8,Possession %,93638
6.0,3.0,Shots on target,93638
11.0,6.0,Shots,93638
487.0,848.0,Touches,93638
316.0,697.0,Passes,93638
13.0,10.0,Tackles,93638
22.0,21.0,Clearances,93638
7.0,6.0,Corners,93638
4.0,2.0,Yellow cards,93638
12.0,10.0,Fouls conceded,93638
2.0,2.0,Goal,93638
63.6,36.4,Possession %,93639
